,ml_inventory_id,available_quantity,data_x,days_available,ml_code,category_id,variation_id,seller_sku,pack_id,title,order_status,payment_status,shipping_id,fulfilled,mcenter_id,ml_sku,var_code,tiny_id,tiny_sku,ad_title,data_y,total_sales_quantity
108,ELQK04205,86,2023-11-23,3,MLB1992889189,MLB429603,173551307783,FULLLIVERPOOL3NI5BM,,Kit 3 Pares De Baquetas D Bateria Liverpool Nirvana 5a 5b 7a,paid,approved,42821703058,True,385.0,FULLLIVERPOOL3NI5BM,3 PARES 5B,735947207,7897937421021,Kit 3 Pares De Baquetas D Bateria Liverpool Nirvana 5a 5b 7a,2023-11-21,8.0
122,EZAB50211,0,2023-11-23,0,MLB2770292345,MLB278096,175607623515,FULLVANDOREN2SR213,2000005063938633,"2 Palheta Sax Alto Vandoren Tradicional 1 1,5 2 2,5 3 3,5 4",paid,approved,42818152088,True,727.0,FULLVANDOREN2SR213,3,748837888,7897626822139,"2 Palheta Sax Alto Vandoren Tradicional 1 1,5 2 2,5 3 3,5 4",2023-11-20,2.0
137,FSNB97805,42,2023-11-23,3,MLB1992889189,MLB429603,173551307782,FULLLIVERPOOL3NI5AM,,Kit 3 Pares De Baquetas D Bateria Liverpool Nirvana 5a 5b 7a,paid,approved,42820363103,True,386.0,FULLLIVERPOOL3NI5AM,3 PARES 5A,698412654,7897937421014,Kit 3 Pares De Baquetas D Bateria Liverpool Nirvana 5a 5b 7a,2023-11-20,4.0
147,GCYF86172,12,2023-11-23,3,MLB2606294854,MLB278096,174384067723,FULLVANDOREN2CR102,,"2 Palheta Clarinete Vandoren Tradicional 1 1,5 2 2,5 3 3,5 4",paid,approved,42817572197,True,5.0,FULLVANDOREN2CR102,2,749530945,7897626822016,"2 Palheta Clarinete Vandoren Tradicional 1 1,5 2 2,5 3 3,5 4",2023-11-20,1.0
179,HHXZ78268,21,2023-11-23,3,MLB2192269456,MLB202371,174349843073,FULLMEMPHISHONUSG,2000005071252797,Ukulele Soprano Memphis Tagima 21  Havaí Honu Acustico Cores,paid,approved,42823801183,True,663.0,FULLMEMPHISHONUSG,Verde,736122816,7898651948757,Ukulele Soprano Memphis Tagima 21 Havaí Honu Acustico Cores,2023-11-21,1.0
183,HNWI37644,9,2023-11-23,3,MLB2003228786,MLB72752,nan,FULLBASSOVTFL02,,Correia Guitarra Violão Baixo Alça Basso Vt Fl Floral Marrom,paid,approved,42823150927,True,142.0,FULLBASSOVTFL02,NaN,729131747,7898529530589,Correia Guitarra Violão Baixo Alça Basso Vt Fl Floral Marrom,2023-11-21,1.0
186,HSDO37848,24,2023-11-23,3,MLB2075516288,MLB429603,173887190667,FULLLIVERPOOL2NI5AM2NI5BM2NI7AM,2000005068576123,Kit 6 Pares De Baquetas D Bateria Liverpool Nirvana 5a 5b 7a,paid,approved,42821472630,True,406.0,FULLLIVERPOOL2NI5AM2NI5BM2NI7AM,2 PARES 5A - 2 PARES 5B - 2 PARES 7A,698412654,7897937421014,Kit 6 Pares De Baquetas D Bateria Liverpool Nirvana 5a 5b 7a,2023-11-21,3.0
188,HTEZ21817,0,2023-11-23,0,MLB1403763907,MLB5344,nan,FULLTIMBRA8228,,Repique De Mão Timbra 10 Pol X 30 Cm Em Alumínio Aro Cromado,paid,approved,42821574520,True,551.0,FULLTIMBRA8228,NaN,579968053,7897626882287,Repique De Mão Timbra 10 Pol X 30 Cm Em Alumínio Aro Cromado,2023-11-21,2.0
200,ICRX50305,3,2023-11-23,3,MLB2770292345,MLB278096,175608213909,FULLVANDOREN2SR2125,,"2 Palheta Sax Alto Vandoren Tradicional 1 1,5 2 2,5 3 3,5 4",paid,approved,42823747938,True,726.0,FULLVANDOREN2SR2125,"2,5",748837756,7897626822122,"2 Palheta Sax Alto Vandoren Tradicional 1 1,5 2 2,5 3 3,5 4",2023-11-21,2.0
201,IDSV51539,64,2023-11-23,3,MLB3339660079,MLB278096,178533059699,FULLVANDOREN2SR2125,,"2 Palheta Sax Alto Vandoren Tradicional 1 1,5 2 2,5 3 3,5 4",paid,approved,42821928359,True,763.0,FULLVANDOREN2SR2125,"2,5",748837756,7897626822122,"2 Palheta Sax Alto Vandoren Tradicional 1 1,5 2 2,5 3 3,5 4",2023-11-21,2.0
207,ITMG31457,0,2023-11-23,0,MLB1417877602,MLB4479,nan,FULLWINNERWA29,,Afinador Cromático Wa29 Com Clipe De Liga/desliga Automático,paid,approved,42817448807,True,21.0,FULLWINNERWA29,NaN,735893980,7897626897304,Afinador Cromático Wa29 Com Clipe De Liga/desliga Automático,2023-11-20,1.0
240,JJSZ06277,48,2023-11-23,3,MLB1992567302,MLB429603,173585284761,FULLNI5AM,,1 Par Baquetas De Bateria Liverpool Nirvana 5a Ou 5b Ou 7a,paid,approved,42817666503,True,3.0,FULLNI5AM,1 Par 5A,698412654,7897937421014,1 Par Baquetas De Bateria Liverpool Nirvana 5a Ou 5b Ou 7a,2023-11-20,1.0
242,JLAX10536,4,2023-11-23,3,MLB2004809736,MLB72752,nan,FULLBASSOVTSL82,2000005065755195,Correia Guitarra Violão Baixo Basso Alça Couro Floral Café,paid,approved,42819537016,True,151.0,FULLBASSOVTSL82,NaN,729132059,7898529537274,Correia Guitarra Violão Baixo Basso Alça Couro Floral Café,2023-11-20,1.0
252,JSMU98097,22,2023-11-23,3,MLB1991060554,MLB72752,nan,FULLBASSOCLA01,2000005068560619,Correia Guitarra Violão Baixo Alça Basso Cla 01 Camurca Bege,paid,approved,42821346465,True,113.0,FULLBASSOCLA01,NaN,729127565,7898942136054,Correia Guitarra Violão Baixo Alça Basso Cla 01 Camurca Bege,2023-11-21,2.0
289,LESW73286,8,2023-11-23,3,MLB2024002438,MLB278076,173664056522,FULLERNIEBALLP02146,2000005066901165,Cordas Para Violao 10 11 12 13 Aco Phophor Bronze Ernie Ball,paid,approved,42820265539,True,111.0,FULLERNIEBALLP02146,0.012,730856734,749699121466,Cordas Para Violao 10 11 12 13 Aco Phophor Bronze Ernie Ball,2023-11-20,2.0
300,LUHT78439,24,2023-11-23,3,MLB2216644379,MLB278096,174350503080,FULLVANDORENSR2615,2000005067012181,"2 Palheta Sax Alto Vandoren Java Origina 1 1,5 2 2,5 3 3,5 4",paid,approved,42820455002,True,12.0,FULLVANDORENSR2615,"1,5",749529078,7897626822283,"2 Palheta Sax Alto Vandoren Java Origina 1 1,5 2 2,5 3 3,5 4",2023-11-20,2.0
302,LXOO59456,2,2023-11-23,3,MLB2986538160,MLB29319,175886400744,FULLLIVERPOOLPML001AM,,Pandeiro Profissional Meia Lua Diversas Cores Liverpool,paid,approved,42820437069,True,707.0,FULLLIVERPOOLPML001AM,Amarelo,698412722,7897937428037,Pandeiro Profissional Meia Lua Diversas Cores Liverpool,2023-11-20,1.0
389,PQCQ36986,17,2023-11-23,3,MLB2075516288,MLB429603,173887190665,FULLLIVERPOOL3NI5AM3NI7AM,2000005071170931,Kit 6 Pares De Baquetas D Bateria Liverpool Nirvana 5a 5b 7a,paid,approved,42823732281,True,412.0,FULLLIVERPOOL3NI5AM3NI7AM,3 PARES 5A - 3 PARES 7A,698412654,7897937421014,Kit 6 Pares De Baquetas D Bateria Liverpool Nirvana 5a 5b 7a,2023-11-21,2.0
409,QHVP51310,9,2023-11-23,3,MLB1627481446,MLB72745,nan,FULLP10NINJA10FT,2000005071353473,Cabo P10 X P10 Santo Angelo Ninja 10ft - 3.05m,paid,approved,42824002326,True,57.0,FULLP10NINJA10FT,NaN,509517168,7899028808537,Cabo P10 X P10 Santo Angelo Ninja 10ft - 3.05m,2023-11-21,16.0
442,SCVF31712,37,2023-11-23,3,MLB1418532096,MLB278064,49773918421,FULLHERCULESGSP38WB,2000005066186281,Suporte P/ Guitarra De Parede Com Trava Ags Hercules Gsp38wb,paid,approved,42819757751,True,579.0,FULLHERCULESGSP38WB,Preto/Madeira,558251904,7897626896581,Suporte P/ Guitarra De Parede Com Trava Ags Hercules Gsp38wb,2023-11-20,1.0
457,SPKV63227,3,2023-11-23,3,MLB1490210934,MLB5344,nan,FULLTIMBRA8228C,,Repique De Mão Timbra 10 Pol X 30 Cm Em Alumínio Aro Cromado,paid,approved,42819663151,True,552.0,FULLTIMBRA8228C,NaN,579968053,7897626882287,Repique De Mão Timbra 10 Pol X 30 Cm Em Alumínio Aro Cromado,2023-11-20,1.0
