2023-11-22 at 15:08:23 | INFO | Buscando dados de 698412654
2023-11-22 at 15:08:23 | INFO | Loop: 3/481
2023-11-22 at 15:08:23 | INFO | Verificando headers
2023-11-22 at 15:08:24 | INFO | Enviando requisição POST
2023-11-22 at 15:08:24 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:24 | INFO | Buscando dados de 749528560
2023-11-22 at 15:08:24 | INFO | Loop: 4/481
2023-11-22 at 15:08:24 | INFO | Verificando headers
2023-11-22 at 15:08:25 | INFO | Enviando requisição POST
2023-11-22 at 15:08:25 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:25 | INFO | Buscando dados de 749530945
2023-11-22 at 15:08:25 | INFO | Loop: 5/481
2023-11-22 at 15:08:25 | INFO | Verificando headers
2023-11-22 at 15:08:26 | INFO | Enviando requisição POST
2023-11-22 at 15:08:26 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:26 | INFO | Buscando dados de 749530672
2023-11-22 at 15:08:26 | INFO | Loop: 6/481
2023-11-22 at 15:08:26 | INFO | Verificando headers
2023-11-22 at 15:08:27 | INFO | Enviando requisição POST
2023-11-22 at 15:08:27 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:27 | INFO | Buscando dados de 749528632
2023-11-22 at 15:08:27 | INFO | Loop: 7/481
2023-11-22 at 15:08:27 | INFO | Verificando headers
2023-11-22 at 15:08:28 | INFO | Enviando requisição POST
2023-11-22 at 15:08:28 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:28 | INFO | Buscando dados de 749528951
2023-11-22 at 15:08:28 | INFO | Loop: 8/481
2023-11-22 at 15:08:28 | INFO | Verificando headers
2023-11-22 at 15:08:29 | INFO | Enviando requisição POST
2023-11-22 at 15:08:29 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:29 | INFO | Buscando dados de 749528930
2023-11-22 at 15:08:29 | INFO | Loop: 9/481
2023-11-22 at 15:08:29 | INFO | Verificando headers
2023-11-22 at 15:08:30 | INFO | Enviando requisição POST
2023-11-22 at 15:08:30 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:30 | INFO | Buscando dados de 749530553
2023-11-22 at 15:08:30 | INFO | Loop: 10/481
2023-11-22 at 15:08:30 | INFO | Verificando headers
2023-11-22 at 15:08:30 | INFO | Enviando requisição POST
2023-11-22 at 15:08:30 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:30 | INFO | Buscando dados de 749530597
2023-11-22 at 15:08:30 | INFO | Loop: 11/481
2023-11-22 at 15:08:30 | INFO | Verificando headers
2023-11-22 at 15:08:31 | INFO | Enviando requisição POST
2023-11-22 at 15:08:31 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:31 | INFO | Buscando dados de 749529078
2023-11-22 at 15:08:31 | INFO | Loop: 12/481
2023-11-22 at 15:08:31 | INFO | Verificando headers
2023-11-22 at 15:08:32 | INFO | Enviando requisição POST
2023-11-22 at 15:08:32 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:32 | INFO | Buscando dados de 749530521
2023-11-22 at 15:08:32 | INFO | Loop: 13/481
2023-11-22 at 15:08:32 | INFO | Verificando headers
2023-11-22 at 15:08:33 | INFO | Enviando requisição POST
2023-11-22 at 15:08:33 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:33 | INFO | Buscando dados de 749530626
2023-11-22 at 15:08:33 | INFO | Loop: 14/481
2023-11-22 at 15:08:33 | INFO | Verificando headers
2023-11-22 at 15:08:34 | INFO | Enviando requisição POST
2023-11-22 at 15:08:34 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:34 | INFO | Buscando dados de 746248995
2023-11-22 at 15:08:34 | INFO | Loop: 15/481
2023-11-22 at 15:08:34 | INFO | Verificando headers
2023-11-22 at 15:08:34 | INFO | Enviando requisição POST
2023-11-22 at 15:08:34 | INFO | Requisição realizada com sucesso!
